date_code,archive_url,file_name
201601,http://web.archive.org/web/20160120091754/http://store.steampowered.com:80/hwsurvey?platform=pc,20160120091754.txt
201602,http://web.archive.org/web/20160204090148/http://store.steampowered.com:80/hwsurvey/?platform=pc,20160204090148.txt
201603,http://web.archive.org/web/20160316190314/http://store.steampowered.com/hwsurvey/?platform=pc,20160316190314.txt
201604,http://web.archive.org/web/20160414053100/http://store.steampowered.com:80/hwsurvey?platform=pc,20160414053100.txt
201605,http://web.archive.org/web/20160518123321/http://store.steampowered.com:80/hwsurvey/?platform=pc,20160518123321.txt
201606,http://web.archive.org/web/20160614061517/http://store.steampowered.com:80/hwsurvey?platform=pc,20160614061517.txt
201607,http://web.archive.org/web/20160718162813/http://store.steampowered.com:80/hwsurvey/?platform=pc,20160718162813.txt
201608,http://web.archive.org/web/20160821025054/http://store.steampowered.com:80/hwsurvey/?platform=pc,20160821025054.txt
201609,http://web.archive.org/web/20160917052624/http://store.steampowered.com/hwsurvey?platform=pc,20160917052624.txt
201610,http://web.archive.org/web/20161010223250/http://store.steampowered.com:80/hwsurvey/?platform=pc,20161010223250.txt
201611,http://web.archive.org/web/20161119133346/http://store.steampowered.com:80/hwsurvey?platform=pc,20161119133346.txt
201612,http://web.archive.org/web/20161206095722/http://store.steampowered.com:80/hwsurvey?platform=pc,20161206095722.txt
201701,http://web.archive.org/web/20170103184943/http://store.steampowered.com/hwsurvey/?platform=pc,20170103184943.txt
201702,http://web.archive.org/web/20170218042602/http://store.steampowered.com/hwsurvey?platform=pc,20170218042602.txt
201703,,
201704,http://web.archive.org/web/20170426082516/http://store.steampowered.com:80/hwsurvey?platform=pc,20170426082516.txt
201705,http://web.archive.org/web/20170503205917/http://store.steampowered.com/hwsurvey/?platform=pc,20170503205917.txt
201706,http://web.archive.org/web/20170617072819/http://store.steampowered.com/hwsurvey/?platform=pc,20170617072819.txt
201707,http://web.archive.org/web/20170711193338/http://store.steampowered.com:80/hwsurvey/?platform=pc,20170711193338.txt
201708,http://web.archive.org/web/20170821160334/http://store.steampowered.com:80/hwsurvey/?platform=pc,20170821160334.txt
201709,http://web.archive.org/web/20170917235247/http://store.steampowered.com:80/hwsurvey/?platform=pc,20170917235247.txt
201710,http://web.archive.org/web/20171019002926/http://store.steampowered.com:80/hwsurvey/?platform=pc,20171019002926.txt
201711,http://web.archive.org/web/20171112095101/http://store.steampowered.com:80/hwsurvey/?platform=pc,20171112095101.txt
201712,http://web.archive.org/web/20171213110206/http://store.steampowered.com/hwsurvey?platform=pc,20171213110206.txt
201801,http://web.archive.org/web/20180126162845/http://store.steampowered.com/hwsurvey/?platform=pc,20180126162845.txt
201802,http://web.archive.org/web/20180215143010/http://store.steampowered.com/hwsurvey/?platform=pc,20180215143010.txt
201803,http://web.archive.org/web/20180315133010/http://store.steampowered.com/hwsurvey/?platform=pc,20180315133010.txt
201804,http://web.archive.org/web/20180416085803/http://store.steampowered.com:80/hwsurvey?platform=pc,20180416085803.txt
201805,http://web.archive.org/web/20180515133027/https://store.steampowered.com/hwsurvey/?platform=pc,20180515133027.txt
201806,http://web.archive.org/web/20180612133047/https://store.steampowered.com/hwsurvey/?platform=pc,20180612133047.txt
201807,,
201808,,
201809,http://web.archive.org/web/20180910133012/https://store.steampowered.com/hwsurvey/?platform=pc,20180910133012.txt
201810,http://web.archive.org/web/20181015133013/https://store.steampowered.com/hwsurvey/?platform=pc,20181015133013.txt
201811,http://web.archive.org/web/20181115143023/https://store.steampowered.com/hwsurvey/?platform=pc,20181115143023.txt
201812,http://web.archive.org/web/20181215143010/https://store.steampowered.com/hwsurvey/?platform=pc,20181215143010.txt
201901,http://web.archive.org/web/20190115143200/https://store.steampowered.com/hwsurvey/?platform=pc,20190115143200.txt
201902,http://web.archive.org/web/20190215143010/https://store.steampowered.com/hwsurvey/?platform=pc,20190215143010.txt
201903,http://web.archive.org/web/20190325215651/https://store.steampowered.com/hwsurvey/?platform=pc,20190325215651.txt
201904,http://web.archive.org/web/20190415123715/https://store.steampowered.com/hwsurvey/?platform=pc,20190415123715.txt
201905,http://web.archive.org/web/20190515183846/https://store.steampowered.com/hwsurvey?platform=pc,20190515183846.txt
201906,,
