date_code,archive_url,file_name
201710,http://web.archive.org/web/20171008062611/http://store.steampowered.com:80/hwsurvey/?platform=mac,20171008062611.txt
201711,http://web.archive.org/web/20171111171625/http://store.steampowered.com:80/hwsurvey/?platform=mac,20171111171625.txt
201712,http://web.archive.org/web/20171213102715/http://store.steampowered.com:80/hwsurvey/?platform=mac,20171213102715.txt
201801,http://web.archive.org/web/20180126162844/http://store.steampowered.com/hwsurvey/?platform=mac,20180126162844.txt
201802,http://web.archive.org/web/20180215143009/http://store.steampowered.com/hwsurvey/?platform=mac,20180215143009.txt
201803,http://web.archive.org/web/20180315133009/http://store.steampowered.com/hwsurvey/?platform=mac,20180315133009.txt
201804,http://web.archive.org/web/20180415133004/http://store.steampowered.com/hwsurvey/?platform=mac,20180415133004.txt
201805,http://web.archive.org/web/20180515133021/https://store.steampowered.com/hwsurvey/?platform=mac,20180515133021.txt
201806,http://web.archive.org/web/20180612133033/https://store.steampowered.com/hwsurvey/?platform=mac,20180612133033.txt
201807,,
201808,,
201809,http://web.archive.org/web/20180910133011/https://store.steampowered.com/hwsurvey/?platform=mac,20180910133011.txt
201810,http://web.archive.org/web/20181015133011/https://store.steampowered.com/hwsurvey/?platform=mac,20181015133011.txt
201811,http://web.archive.org/web/20181115143019/https://store.steampowered.com/hwsurvey/?platform=mac,20181115143019.txt
201812,http://web.archive.org/web/20181215143009/https://store.steampowered.com/hwsurvey/?platform=mac,20181215143009.txt
201901,http://web.archive.org/web/20190115143137/https://store.steampowered.com/hwsurvey/?platform=mac,20190115143137.txt
201902,http://web.archive.org/web/20190215143009/https://store.steampowered.com/hwsurvey/?platform=mac,20190215143009.txt
201903,http://web.archive.org/web/20190305143009/https://store.steampowered.com/hwsurvey/?platform=mac,20190305143009.txt
201904,http://web.archive.org/web/20190415123713/https://store.steampowered.com/hwsurvey/?platform=mac,20190415123713.txt
201905,http://web.archive.org/web/20190509123717/https://store.steampowered.com/hwsurvey/?platform=mac,20190509123717.txt
201906,,
201907,http://web.archive.org/web/20190707174637/https://store.steampowered.com/hwsurvey/?platform=mac,20190707174637.txt
201908,http://web.archive.org/web/20190809120826/https://store.steampowered.com/hwsurvey/?platform=mac,20190809120826.txt
201909,http://web.archive.org/web/20190923162210/https://store.steampowered.com/hwsurvey/?platform=mac,20190923162210.txt
201910,http://web.archive.org/web/20191021144312/https://store.steampowered.com/hwsurvey?platform=mac,20191021144312.txt
201911,http://web.archive.org/web/20191115221217/https://store.steampowered.com/hwsurvey/?platform=mac,20191115221217.txt
201912,http://web.archive.org/web/20191212042300/https://store.steampowered.com/hwsurvey/?platform=mac,20191212042300.txt
202001,http://web.archive.org/web/20200110014511/https://store.steampowered.com/hwsurvey/?platform=mac,20200110014511.txt
202002,,
202003,http://web.archive.org/web/20200303224133/https://store.steampowered.com/hwsurvey/?platform=mac,20200303224133.txt
202004,,
202005,http://web.archive.org/web/20200516160111/https://store.steampowered.com/hwsurvey?platform=mac,20200516160111.txt
202006,,
202007,,
202008,http://web.archive.org/web/20200808234603/https://store.steampowered.com/hwsurvey/?platform=mac,20200808234603.txt
202009,,
202010,http://web.archive.org/web/20201005193443/https://store.steampowered.com/hwsurvey?platform=mac,20201005193443.txt
