date_code,archive_url,file_name
201911,http://web.archive.org/web/20191115221215/https://store.steampowered.com/hwsurvey/?platform=linux,20191115221215.txt
201912,http://web.archive.org/web/20191212042258/https://store.steampowered.com/hwsurvey/?platform=linux,20191212042258.txt
202001,http://web.archive.org/web/20200110014458/https://store.steampowered.com/hwsurvey/?platform=linux,20200110014458.txt
202002,,
202003,http://web.archive.org/web/20200310155135/https://store.steampowered.com/hwsurvey?platform=linux,20200310155135.txt
202004,http://web.archive.org/web/20200426122030/https://store.steampowered.com/hwsurvey?platform=linux,20200426122030.txt
202005,http://web.archive.org/web/20200510140321/https://store.steampowered.com/hwsurvey?platform=linux,20200510140321.txt
202006,http://web.archive.org/web/20200602200550/https://store.steampowered.com/hwsurvey?platform=linux,20200602200550.txt
202007,http://web.archive.org/web/20200727235654/https://store.steampowered.com/hwsurvey/?platform=linux,20200727235654.txt
202008,,
202009,http://web.archive.org/web/20200903091749/https://store.steampowered.com/hwsurvey?platform=linux,20200903091749.txt
202010,http://web.archive.org/web/20201027214535/https://store.steampowered.com/hwsurvey/?platform=linux,20201027214535.txt
202011,http://web.archive.org/web/20201112025127/https://store.steampowered.com/hwsurvey/?platform=linux,20201112025127.txt
202012,,
202101,,
202102,http://web.archive.org/web/20210201215754/https://store.steampowered.com/hwsurvey/?platform=linux,20210201215754.txt
202103,,
202104,,
202105,http://web.archive.org/web/20210515024857/https://store.steampowered.com/hwsurvey?platform=linux,20210515024857.txt
202106,http://web.archive.org/web/20210628150715/https://store.steampowered.com/hwsurvey?platform=linux,20210628150715.txt
202107,http://web.archive.org/web/20210703153200/https://store.steampowered.com/hwsurvey/?platform=linux,20210703153200.txt
202108,http://web.archive.org/web/20210815113951/https://store.steampowered.com/hwsurvey?platform=linux,20210815113951.txt
202109,http://web.archive.org/web/20210904152257/https://store.steampowered.com/hwsurvey/?platform=linux,20210904152257.txt
202110,http://web.archive.org/web/20211009092246/https://store.steampowered.com/hwsurvey?platform=linux,20211009092246.txt
202111,,
202112,http://web.archive.org/web/20211212120156/https://store.steampowered.com/hwsurvey?platform=linux,20211212120156.txt
